epoch,step,train_loss_epoch,train_loss_step,val_loss
0,0,,5.874351978302002,
0,1,,5.60793924331665,
0,2,,5.24845027923584,
0,3,,4.536792755126953,
0,4,,4.3211445808410645,
0,5,,4.036091327667236,
0,6,,3.8552892208099365,
0,6,,,5.191858291625977
0,6,4.894174575805664,,
1,7,,3.783048391342163,
1,8,,3.8098533153533936,
1,9,,3.8007559776306152,
1,10,,3.815758228302002,
1,11,,3.815286874771118,
1,12,,3.8067426681518555,
1,13,,3.893702507019043,
1,13,,,4.142829895019531
1,13,3.808779001235962,,
2,14,,3.757934093475342,
2,15,,3.666881799697876,
2,16,,3.6774935722351074,
2,17,,3.71726393699646,
2,18,,3.653191328048706,
2,19,,3.604339122772217,
2,20,,3.533386707305908,
2,20,,,3.83978271484375
2,20,3.6736721992492676,,
3,21,,3.6215670108795166,
3,22,,3.6270318031311035,
3,23,,3.71620512008667,
3,24,,3.545135974884033,
3,25,,3.5817222595214844,
3,26,,3.555907964706421,
3,27,,3.5486972332000732,
3,27,,,3.676332712173462
3,27,3.6055591106414795,,
4,28,,3.549598217010498,
4,29,,3.5248377323150635,
4,30,,3.5941476821899414,
4,31,,3.4885149002075195,
4,32,,3.5861032009124756,
4,33,,3.554224729537964,
4,34,,3.594534158706665,
4,34,,,3.559023857116699
4,34,3.5513696670532227,,
5,35,,3.5490686893463135,
5,36,,3.5341334342956543,
5,37,,3.588738203048706,
5,38,,3.4576544761657715,
5,39,,3.415631055831909,
5,40,,3.534269332885742,
5,41,,3.444627046585083,
5,41,,,3.500795841217041
5,41,3.5105042457580566,,
6,42,,3.5284194946289062,
6,43,,3.4690589904785156,
6,44,,3.488917589187622,
6,45,,3.4483370780944824,
6,46,,3.4154481887817383,
6,47,,3.50305438041687,
6,48,,3.3196024894714355,
6,48,,,3.4454262256622314
6,48,3.469301700592041,,
7,49,,3.43717622756958,
7,50,,3.414794445037842,
7,51,,3.4635627269744873,
7,52,,3.404088020324707,
7,53,,3.449132204055786,
7,54,,3.466470718383789,
7,55,,3.253969669342041,
7,55,,,3.3883469104766846
7,55,3.4317946434020996,,
8,56,,3.4314942359924316,
8,57,,3.3022851943969727,
8,58,,3.4499919414520264,
8,59,,3.4042952060699463,
8,60,,3.3986902236938477,
8,61,,3.3436741828918457,
8,62,,3.470764636993408,
8,62,,,3.337857961654663
8,62,3.3916993141174316,,
9,63,,3.3608968257904053,
9,64,,3.307218551635742,
9,65,,3.4104652404785156,
9,66,,3.3693301677703857,
9,67,,3.253227949142456,
9,68,,3.349109649658203,
9,69,,3.373103380203247,
9,69,,,3.2851364612579346
9,69,3.342963933944702,,
10,70,,3.296236038208008,
10,71,,3.3366479873657227,
10,72,,3.3483188152313232,
10,73,,3.3477702140808105,
10,74,,3.2379403114318848,
10,75,,3.3121933937072754,
10,76,,3.217045307159424,
10,76,,,3.25352144241333
10,76,3.3093390464782715,,
11,77,,3.339489459991455,
11,78,,3.294823408126831,
11,79,,3.282792568206787,
11,80,,3.2796504497528076,
11,81,,3.287031650543213,
11,82,,3.3046326637268066,
11,83,,3.0319478511810303,
11,83,,,3.2247447967529297
11,83,3.2874250411987305,,
12,84,,3.2326550483703613,
12,85,,3.293386697769165,
12,86,,3.185670852661133,
12,87,,3.2702722549438477,
12,88,,3.267606735229492,
12,89,,3.2672581672668457,
12,90,,3.382235527038574,
12,90,,,3.193730115890503
12,90,3.2579851150512695,,
13,91,,3.307460308074951,
13,92,,3.176060438156128,
13,93,,3.206273078918457,
13,94,,3.2749767303466797,
13,95,,3.1739864349365234,
13,96,,3.3090569972991943,
13,97,,3.0687999725341797,
13,97,,,3.161137580871582
13,97,3.2344021797180176,,
14,98,,3.1638832092285156,
14,99,,3.3012585639953613,
14,100,,3.4091827869415283,
14,101,,3.13480806350708,
14,102,,3.1066129207611084,
14,103,,3.0982818603515625,
14,104,,3.1568331718444824,
14,104,,,3.132586717605591
14,104,3.2005176544189453,,
15,105,,3.208320140838623,
15,106,,3.328629493713379,
15,107,,3.080627918243408,
15,108,,3.164156198501587,
15,109,,3.07840633392334,
15,110,,3.2125725746154785,
15,111,,3.130084991455078,
15,111,,,3.0998575687408447
15,111,3.176837205886841,,
16,112,,3.185840368270874,
16,113,,3.2881405353546143,
16,114,,3.156365156173706,
16,115,,3.219670534133911,
16,116,,2.9635977745056152,
16,117,,3.045635938644409,
16,118,,3.209059715270996,
16,118,,,3.0671329498291016
16,118,3.1458423137664795,,
17,119,,3.1075496673583984,
17,120,,3.1117942333221436,
17,121,,3.0950124263763428,
17,122,,3.088428497314453,
17,123,,3.111154556274414,
17,124,,3.225675106048584,
17,125,,3.0398643016815186,
17,125,,,3.039308547973633
17,125,3.1199328899383545,,
18,126,,3.2397360801696777,
18,127,,3.00372576713562,
18,128,,3.001490354537964,
18,129,,3.075531482696533,
18,130,,3.025982141494751,
18,131,,3.3401877880096436,
18,132,,2.9492671489715576,
18,132,,,3.011232852935791
18,132,3.107835054397583,,
19,133,,2.902064800262451,
19,134,,2.99324893951416,
19,135,,3.12263560295105,
19,136,,3.168916940689087,
19,137,,3.1547138690948486,
19,138,,3.070624351501465,
19,139,,3.191192150115967,
19,139,,,2.9820547103881836
19,139,3.0736005306243896,,
20,140,,3.0140528678894043,
20,141,,2.9612667560577393,
20,142,,3.147853374481201,
20,143,,3.201906204223633,
20,144,,2.9576947689056396,
20,145,,3.040681838989258,
20,146,,3.03922176361084,
20,146,,,2.9656357765197754
20,146,3.0533218383789062,,
21,147,,3.029825210571289,
21,148,,3.0479583740234375,
21,149,,3.064099073410034,
21,150,,3.000481128692627,
21,151,,3.1285128593444824,
21,152,,3.0260367393493652,
21,153,,2.7368459701538086,
21,153,,,2.947300910949707
21,153,3.036980390548706,,
22,154,,2.9057207107543945,
22,155,,3.0607407093048096,
22,156,,3.0523056983947754,
22,157,,3.0441203117370605,
22,158,,2.9543044567108154,
22,159,,3.101099967956543,
22,160,,3.0316059589385986,
22,160,,,2.928704261779785
22,160,3.020190954208374,,
23,161,,3.0012881755828857,
23,162,,3.073488473892212,
23,163,,3.151808977127075,
23,164,,2.830392360687256,
23,165,,2.9624879360198975,
23,166,,2.987462282180786,
23,167,,3.111328125,
23,167,,,2.9100329875946045
23,167,3.0055618286132812,,
24,168,,2.947366237640381,
24,169,,2.8681116104125977,
24,170,,3.1573667526245117,
24,171,,3.17690372467041,
24,172,,2.880572557449341,
24,173,,2.9255027770996094,
24,174,,2.9391326904296875,
24,174,,,2.894984722137451
24,174,2.99049711227417,,
25,175,,2.927346706390381,
25,176,,3.0473105907440186,
25,177,,2.939789056777954,
25,178,,2.942774534225464,
25,179,,3.0593864917755127,
